2026-04-22 18:12:57 | INFO     | __main__ | Logger working perfectly
2026-04-22 18:19:58 | INFO     | src.ingestion.yfinance_fetcher | [AAPL] Downloading 1d data (attempt 1/3)
2026-04-22 18:25:14 | INFO     | src.ingestion.yfinance_fetcher | [AAPL] Downloading 1d data (attempt 1/3)
2026-04-22 18:28:50 | INFO     | src.ingestion.yfinance_fetcher | [AAPL] Downloading 1d data (attempt 1/3)
2026-04-22 18:28:50 | INFO     | src.ingestion.yfinance_fetcher | [AAPL] Cleaned: 501/501 rows kept
2026-04-22 18:28:51 | INFO     | src.ingestion.yfinance_fetcher | [AAPL] Daily data cached (501 rows)
2026-04-22 18:33:27 | INFO     | src.ingestion.yfinance_fetcher | [AAPL] Downloading 1d data (attempt 1/3)
2026-04-22 18:33:28 | INFO     | src.ingestion.yfinance_fetcher | [AAPL] Cleaned: 501/501 rows kept
2026-04-22 18:33:28 | INFO     | src.ingestion.yfinance_fetcher | [AAPL] Daily data cached (501 rows)
2026-04-22 18:33:28 | INFO     | src.features.technical_indicators | [AAPL] Building features from 501 bars
2026-04-22 18:33:36 | WARNING  | src.features.technical_indicators | Candlestick patterns failed: module 'pandas_ta' has no attribute 'cdl_hammer'
2026-04-22 18:33:36 | DEBUG    | src.features.technical_indicators | [AAPL] Trend: +25 features
2026-04-22 18:33:36 | DEBUG    | src.features.technical_indicators | [AAPL] Momentum: +13 features
2026-04-22 18:33:36 | DEBUG    | src.features.technical_indicators | [AAPL] Volatility: +18 features
2026-04-22 18:33:36 | DEBUG    | src.features.technical_indicators | [AAPL] Volume: +11 features
2026-04-22 18:33:36 | DEBUG    | src.features.technical_indicators | [AAPL] Returns: +18 features
2026-04-22 18:33:36 | DEBUG    | src.features.technical_indicators | [AAPL] Patterns: +4 features
2026-04-22 18:33:36 | DEBUG    | src.features.technical_indicators | [AAPL] Regime: +4 features
2026-04-22 18:33:36 | DEBUG    | src.features.technical_indicators | [AAPL] Dropped 251 warm-up rows (250 rows remaining)
